Round0, ROCAUC0.680250783699, LOGLOSS0.600149320695, F1 SCORE0.666666666667,
 0.60233918 0.63958333 0.73015873 0.74330357 0.79722222], LOGLOSS[0.60014932 0.61361858 0.6707133  0.66546045 0.67165095 1.15085312
 0.48138386 0.67819251 0.48468305 0.78348737 0.54425283 0.62819341
 1.46961889 0.42793144 0.45339102 0.89053815 0.50817471 0.57506697
 0.84296529 0.69675363 0.71019924 0.66937623 0.69913482 0.76178451
 0.64702432 0.77708198 0.68480703 0.7296783  0.73009837 1.26548207
 0.68352287 0.72969507 0.54411955 0.49365285 0.68937709 0.63819486
 0.74880042 0.57036184 0.65337492 0.78312061 0.57831743 0.56385192
 0.86840402 0.68490999 0.55875639 0.59899672 0.63405806], F1 SCORE[0.66666667 0.37037037 0.54482759 0.72282609 0.37179487 0.27874564
 0.59077381 0.5063571  0.5954046  0.47162427 0.50757576 0.48295455
 0.32211314 0.43678161 0.64094488 0.35638958 0.48998179 0.6745614
 0.5112782  0.47588933 0.58870968 0.63782696 0.4858002  0.49159577
 0.68421053 0.36969351 0.57471264 0.44847074 0.57565789 0.28097826
 0.45028409 0.56153846 0.58800226 0.43564356 0.49012158 0.57640232
 0.46473504 0.46818182 0.62105263 0.38333333 0.41441441 0.60867446
 0.54117647 0.46920635 0.47916667 0.55665025 0.36486486],
Mean Auc 0.631925258558,  Mean logloss 0.692197028105, Mean F1 0.502743957129,
