Round0, ROCAUC0.667711598746, LOGLOSS0.683938854653, F1 SCORE0.58071278826,
Round35, ROCAUC0.735347985348, LOGLOSS0.539544987964, F1 SCORE0.667203003486,
Round36, ROCAUC0.648888888889, LOGLOSS0.663697961431, F1 SCORE0.547826086957,
Round37, ROCAUC0.662, LOGLOSS0.604622338368, F1 SCORE0.548611111111,
Round38, ROCAUC0.538170823885, LOGLOSS0.660199952753, F1 SCORE0.387096774194,
Round39, ROCAUC0.744047619048, LOGLOSS0.750309790711, F1 SCORE0.42612244898,
Round40, ROCAUC0.645408163265, LOGLOSS0.591330980968, F1 SCORE0.527272727273,
Round41, ROCAUC0.659770114943, LOGLOSS0.647487548247, F1 SCORE0.588897827836,
Round42, ROCAUC0.566276803119, LOGLOSS1.01082803312, F1 SCORE0.492346141831,
Round43, ROCAUC0.65, LOGLOSS0.799523331876, F1 SCORE0.562828755114,
Round44, ROCAUC0.60119047619, LOGLOSS0.636441647876, F1 SCORE0.467275494673,
Round45, ROCAUC0.580357142857, LOGLOSS0.712895307295, F1 SCORE0.63025210084,
Round46, ROCAUC0.731481481481, LOGLOSS0.733918699892, F1 SCORE0.536811594203,
TOTAL All round, ROCAUC[0.6677116  0.57936508 0.73549107 0.60185185 0.55102041 0.54265873
 0.66489362 0.45121951 0.88857143 0.57448276 0.65185185 0.88235294
 0.58603896 0.76666667 0.72131148 0.61558442 0.52159244 0.71052632
 0.6515625  0.70142857 0.57407407 0.65768799 0.74069479 0.47771236
 0.70637119 0.62361111 0.61111111 0.61271186 0.66477273 0.57391304
 0.68650794 0.56765328 0.63945578 0.7037037  0.63621795 0.73534799
 0.64888889 0.662      0.53817082 0.74404762 0.64540816 0.65977011
 0.5662768  0.65       0.60119048 0.58035714 0.73148148], LOGLOSS[0.68393885 0.59855164 0.61245793 1.19533388 0.67828295 0.75287719
 0.57478011 0.59473793 0.46477138 0.81212173 0.57262853 0.47730021
 1.13621991 0.47245897 0.45620625 1.56989264 0.67301604 0.63589724
 0.88396597 0.61583078 0.67070822 1.06037617 0.66110709 1.34611939
 0.66583339 1.16526115 0.95965495 0.66272111 0.56761309 0.96872605
 0.58699928 0.67692766 0.5575998  0.46253639 0.56012887 0.53954499
 0.66369796 0.60462234 0.66019995 0.75030979 0.59133098 0.64748755
 1.01082803 0.79952333 0.63644165 0.71289531 0.7339187 ], F1 SCORE[0.58071279 0.51512532 0.5992714  0.44191919 0.53333333 0.42265608
 0.64267866 0.45977011 0.4375     0.37321429 0.62012987 0.57426901
 0.31066176 0.51221719 0.62797203 0.35638958 0.46733141 0.59230769
 0.51932773 0.63888889 0.58870968 0.41283074 0.43189369 0.29292929
 0.5117158  0.42962963 0.40068201 0.55951515 0.49332286 0.34687588
 0.53928571 0.53230769 0.53664303 0.47222222 0.48129252 0.667203
 0.54782609 0.54861111 0.38709677 0.42612245 0.52727273 0.58889783
 0.49234614 0.56282876 0.46727549 0.6302521  0.53681159],
Mean Auc 0.644794055552,  Mean logloss 0.731582624228, Mean F1 0.502937793708,
